,Text Tweet
170,"@KolNikmat Iya,pake masker dan cuci tangan mah tetap, tapi yg lainnya mah uda sebodo amat. Yang mau mudik,jalan2 saya dukung👍👍"
171,Polisi akan menggelar operasi. Jadi sia-sia saja jika kita colong start mudik. Lebih baik lebaran di rumah saja aga… https://t.co/IiIthAJwJI
172,"Gpp Lebaran tanpa mudik•
Asal jangan sampai Lebaran tanpamu dik 🥰"
173,"Presiden Jokowi bersama semua menteri, wakil presiden dan semua kepala lembaga tidak akan mudik atau pulang kampung… https://t.co/j7JbkRVv2j"
174,"""Ditemukan seorang perantau mati di kosan karena kelaparan dan tidak bisa mudik"" https://t.co/B2gkAVmvfF"
175,Pekerja yang dalam kondisi DARURAT boleh mudik. Kerjakeras Maju Negeriku https://t.co/kX3r7a45uW
176,"Pandemi belum usai, bahkan angka kasus Covid-19 di Indonesia sekarang sudah lebih dari 1,5 juta. Angka ini sangat m… https://t.co/Np8EIQSWDd"
177,"Semua Dihimbau agar tidak mudik dulu tahun ini, Kerjakeras Maju Negeriku https://t.co/0hOvoZ8Wbi"
178,"Ketika tidak mudik, sebenarnya kita turut melindungi orang lain dan keluarga di kampung halaman dr risiko terpapar… https://t.co/A7IxtoEbL1"
179,"@riadis99 berbekal rindu
mudik rohaniku kembali menuju
muasal

#puisi7kata"
180,"Hal terpenting saat kasus Covid-19 di Indonesia mencapai lebih dari 1,5 juta adalah menekan penyebaran virus. Salah… https://t.co/Lw3QzErbYC"
181,"Presiden Jokowi dan swluruh pejabat tdk akan mudik 2021
  KerjaKeras Maju Negeriku https://t.co/AxsdajR2uO"
182,Presiden @jokowi dan seluruh Jajaran tidak akan mudik. Kerjakeras Maju Negeriku https://t.co/DHjOx0fawp
183,Tidak perlu curi start mudik krn pasti akan kena operasi polisi yg sudah mengantisipasi hal tersebut. Cukup berleba… https://t.co/i65shp4QpD
184,"KerjaKeras Maju Negeriku
Bagi pekerja yang mengalami kondisi darurat diperbolehkan untuk mudik lebaran. 👌👌👌
https://t.co/iQqmQ7S0oc"
185,"Ini beneran boleh mudik kagak sie :"")"
186,"@ganjarpranowo kulo sampun kalih taun, dereng mudik pak..
ning nggih tetep semangat..
😎"
187,Perumusan Pembatasan mudik terus dilakukan 6 mei-17 mei 2021.Di hari puasa tetap menjaga kesehatan baik pribadi&amp;kel… https://t.co/S6Gu5rXkeH
188,"@ismailfahmi Mudik lanjut ttep om, yang penting taati prokes, gak mudik lebaran bisa² mental gw sakit nnti wokwowk"
